,useridentifier,headers.x-session-id,id,event,timestamp,feed
24383,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:56.829,
24384,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:51.983,
24422,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:44.326,
24467,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:18.651,
24506,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:57.240,
24552,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:10.753,
24602,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:44.478,
24603,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:44.976,
24604,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:45.342,
24618,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:54:55.928,
24638,9c2a93d4-70a2-4e0f-a328-9db4d52c54a7,MC5lZmZ4eDg4eXc1dQ==,/fn/sfp/validate/description/:value,,2021-05-20 00:55:03.728,
